"","SURVEY","SUBREGION","HAULJOIN","YEAR","STRATUM","AREA","DEPTH","LON","LAT","TEMP"
"176","GOA","WGOA",-9767,2013,"11",13681.241,93,195.18658,54.08054,4.4
"177","GOA","WGOA",-12596,2005,"11",13681.241,90,197.91209,54.15237,4.9
"178","GOA","WGOA",-12903,2005,"11",13681.241,70,196.25121,54.60674,5.1
"179","GOA","WGOA",-2948,2007,"11",13681.241,77,196.32069,53.97819,4.4
"180","GOA","WGOA",-2962,2007,"11",13681.241,65,197.0197,54.51892,4.2
"181","GOA","WGOA",-2947,2007,"11",13681.241,92,196.13741,53.83797,4.1
"182","GOA","WGOA",-14090,2015,"11",13681.241,91,195.01444,53.93821,5.7
"183","GOA","WGOA",-9917,2013,"11",13681.241,94,195.74389,54.48052,4.9
"184","GOA","WGOA",-12897,2005,"11",13681.241,94,195.548,54.32404,5.1
"185","GOA","WGOA",-14001,2015,"11",13681.241,69,195.88869,54.195,5.3
"186","GOA","WGOA",-5453,2009,"11",13681.241,76,195.911,54.04863,3.2
"187","GOA","WGOA",-4774,2009,"11",13681.241,73,197.0872,54.16172,3.8
"188","GOA","WGOA",-2698,2007,"11",13681.241,87,195.5939,54.14982,3.7
"189","GOA","WGOA",-5450,2009,"11",13681.241,87,196.16251,54.38486,3.1
"190","GOA","WGOA",1173531,2003,"11",13681.241,88,196.35339,54.12086,6.1
"191","GOA","WGOA",-2697,2007,"11",13681.241,98,195.30051,54.08458,3.6
"192","GOA","WGOA",-4770,2009,"11",13681.241,93,196.5806,53.92397,3.7
"193","GOA","WGOA",-12901,2005,"11",13681.241,92,196.29781,54.39151,5
"194","GOA","WGOA",-12906,2005,"11",13681.241,58,196.91051,54.64204,4.9
"195","GOA","WGOA",1077962,2001,"11",13681.241,70,197.4245,54.22945,5.3
"196","GOA","WGOA",-4773,2009,"11",13681.241,96,196.08099,54.38417,3.1
"197","GOA","WGOA",979033,1999,"11",13681.241,72,196.6635,54.67435,2.6
"198","GOA","WGOA",-12900,2005,"11",13681.241,74,196.0275,54.23459,5
"199","GOA","WGOA",-12902,2005,"11",13681.241,80,196.28149,54.57872,5.3
"200","GOA","WGOA",-2961,2007,"11",13681.241,91,197.27859,54.66373,3.2
"201","GOA","WGOA",1173517,2003,"11",13681.241,82,195.0022,54.28584,5.1
"202","GOA","WGOA",-5452,2009,"11",13681.241,90,195.7058,54.18591,3.1
"203","GOA","WGOA",-12898,2005,"11",13681.241,72,195.8311,54.25077,4.9
"204","GOA","WGOA",-5455,2009,"11",13681.241,88,196.3838,54.11384,3.4
"205","GOA","WGOA",-4771,2009,"11",13681.241,88,196.4375,54.11887,3.5
"206","GOA","WGOA",-12899,2005,"11",13681.241,76,196,54.19519,4.8
"207","GOA","WGOA",1077672,2001,"11",13681.241,78,195.11501,54.03776,4.8
"208","GOA","WGOA",-12580,2005,"11",13681.241,87,195.1772,53.94762,5.2
"209","GOA","WGOA",-14002,2015,"11",13681.241,84,195.70139,54.12149,5.6
"210","GOA","WGOA",-2714,2007,"11",13681.241,46,196.8437,54.42381,3.9
"211","GOA","WGOA",1173443,2003,"11",13681.241,83,196.8756,54.1151,6.2
"212","GOA","WGOA",-12905,2005,"11",13681.241,57,196.86839,54.45602,5.3
"213","GOA","WGOA",-14101,2015,"11",13681.241,82,196.64921,54.37791,6
"214","GOA","WGOA",1166948,2003,"11",13681.241,65,196.95711,54.2788,6.4
"215","GOA","WGOA",979016,1999,"11",13681.241,82,195.7951,53.99662,3.9
"216","GOA","WGOA",-4727,2009,"11",13681.241,97,198.3517,54.22676,3.4
"217","GOA","WGOA",-5456,2009,"11",13681.241,85,196.37469,54.1446,3.3
"218","GOA","WGOA",-2710,2007,"11",13681.241,89,196.26401,54.42216,3.2
"219","GOA","WGOA",-2942,2007,"11",13681.241,75,195.01649,54.02607,3.1
"220","GOA","WGOA",-2752,2007,"11",13681.241,91,195.5186,54.18731,3.8
"221","GOA","WGOA",-4699,2009,"11",13681.241,76,195.99789,54.06584,3.2
"222","GOA","WGOA",-9766,2013,"11",13681.241,76,196.04932,53.95608,5.2
"223","GOA","WGOA",881309,1996,"11",13681.241,89,197.8278,54.1929,4.2
"224","GOA","WGOA",-4703,2009,"11",13681.241,64,195.09241,54.39077,3.5
"225","GOA","WGOA",-9787,2013,"11",13681.241,96,198.35337,54.22211,4.7
"226","GOA","WGOA",-2760,2007,"11",13681.241,72,195.91611,53.95825,4
"227","GOA","WGOA",-2761,2007,"11",13681.241,88,196.127,53.96624,4.2
"228","GOA","WGOA",-2707,2007,"11",13681.241,95,196.0806,54.38437,3.1
"229","GOA","WGOA",-2953,2007,"11",13681.241,75,196.0305,54.26266,2.9
"230","GOA","WGOA",-14284,2015,"11",13681.241,68,198.08944,54.33241,5.4
"231","GOA","WGOA",-9927,2013,"11",13681.241,66,196.94848,54.27914,5.1
"232","GOA","WGOA",-2711,2007,"11",13681.241,84,196.1095,54.04166,3.4
"233","GOA","WGOA",-5459,2009,"11",13681.241,50,197.5443,54.43174,3.5
"234","GOA","WGOA",-9779,2013,"11",13681.241,72,197.33759,54.22034,4.5
"235","GOA","WGOA",-9782,2013,"11",13681.241,67,197.215,54.21127,4.6
"236","GOA","WGOA",-2715,2007,"11",13681.241,74,196.91701,54.17953,3
"237","GOA","WGOA",-9769,2013,"11",13681.241,79,195.05154,54.46921,4.5
"238","GOA","WGOA",991287,1999,"11",13681.241,93,195.2509,53.93246,3.8
"239","GOA","WGOA",1077961,2001,"11",13681.241,63,196.8707,54.28307,5.1
"240","GOA","WGOA",-14104,2015,"11",13681.241,66,197.02627,54.51953,6.7
"241","GOA","WGOA",-9774,2013,"11",13681.241,78,197.07325,54.61837,4.1
"242","GOA","WGOA",-14000,2015,"11",13681.241,85,196.17975,54.14951,5.3
"243","GOA","WGOA",-7479,2011,"11",13681.241,79,196.51812,54.1654,4.2
"244","GOA","WGOA",-9915,2013,"11",13681.241,93,195.59183,54.22699,4.1
"245","GOA","WGOA",-9916,2013,"11",13681.241,68,195.67567,54.43624,4.8
"246","GOA","WGOA",-14003,2015,"11",13681.241,99,195.19594,54.04088,6.1
"247","GOA","WGOA",1173434,2003,"11",13681.241,85,197.21471,54.67848,5.9
"248","GOA","WGOA",-14097,2015,"11",13681.241,91,196.44319,54.10141,5.9
"249","GOA","WGOA",-2759,2007,"11",13681.241,88,196.4301,54.17355,2.8
